COST,Costco Wholesale,Date,Open,High,Low,Close,Adj Close,Volume
COST,Costco Wholesale,2019-02-15,215.149994,217.250000,214.039993,216.470001,204.394653,2635500
COST,Costco Wholesale,2019-02-19,216.669998,219.600006,216.509995,218.119995,205.952576,1938100
COST,Costco Wholesale,2019-02-20,218.229996,219.070007,215.059998,217.110001,204.998978,1785600
COST,Costco Wholesale,2019-02-21,216.600006,216.720001,214.330002,215.229996,203.223816,1615300
COST,Costco Wholesale,2019-02-22,215.169998,216.589996,214.250000,216.289993,204.224716,1542500
COST,Costco Wholesale,2019-02-25,217.369995,219.089996,216.550003,217.050003,204.942322,1794000
COST,Costco Wholesale,2019-02-26,216.889999,218.910004,216.130005,217.610001,205.471069,1884100
COST,Costco Wholesale,2019-02-27,216.509995,218.860001,216.449997,218.050003,205.886520,1482700
COST,Costco Wholesale,2019-02-28,218.490005,219.690002,217.520004,218.740005,206.538055,2055600
COST,Costco Wholesale,2019-03-01,219.759995,220.570007,215.770004,219.440002,207.199020,2178200
COST,Costco Wholesale,2019-03-04,220.429993,221.080002,215.869995,218.410004,206.226425,2444700
COST,Costco Wholesale,2019-03-05,218.910004,221.610001,218.899994,219.820007,207.557770,2160200
COST,Costco Wholesale,2019-03-06,220.500000,221.910004,218.229996,219.229996,207.000702,1985300
COST,Costco Wholesale,2019-03-07,218.130005,219.389999,216.220001,216.789993,204.696808,3279100
COST,Costco Wholesale,2019-03-08,225.479996,228.699997,223.770004,227.820007,215.111511,6782700
COST,Costco Wholesale,2019-03-11,227.529999,229.910004,227.059998,229.690002,216.877213,3748400
COST,Costco Wholesale,2019-03-12,230.320007,233.399994,229.899994,232.960007,219.964813,2647100
COST,Costco Wholesale,2019-03-13,234.250000,237.449997,232.949997,236.380005,223.194046,2421200
COST,Costco Wholesale,2019-03-14,236.130005,236.380005,233.279999,233.839996,220.795715,2300300
COST,Costco Wholesale,2019-03-15,234.169998,235.649994,233.179993,233.600006,220.569092,5075400
COST,Costco Wholesale,2019-03-18,233.580002,236.679993,233.490005,236.589996,223.392319,1735400
COST,Costco Wholesale,2019-03-19,237.520004,238.050003,236.289993,237.050003,223.826660,1852300
COST,Costco Wholesale,2019-03-20,237.029999,238.490005,235.779999,236.979996,223.760559,1499500
COST,Costco Wholesale,2019-03-21,236.679993,239.850006,236.550003,239.539993,226.177750,1617000
COST,Costco Wholesale,2019-03-22,239.750000,240.339996,236.899994,237.559998,224.308182,1873600
COST,Costco Wholesale,2019-03-25,236.929993,238.080002,235.789993,236.970001,223.751144,1357100
COST,Costco Wholesale,2019-03-26,238.000000,240.250000,237.360001,239.070007,225.733978,1193000
COST,Costco Wholesale,2019-03-27,238.710007,240.210007,238.160004,239.410004,226.054977,1351200
COST,Costco Wholesale,2019-03-28,239.979996,241.949997,239.580002,241.220001,227.763992,1396700
COST,Costco Wholesale,2019-03-29,241.660004,242.440002,240.770004,242.139999,228.632721,1968000
COST,Costco Wholesale,2019-04-01,243.070007,244.410004,242.580002,244.190002,230.568359,1610200
COST,Costco Wholesale,2019-04-02,244.000000,244.190002,240.309998,240.500000,227.084198,1574300
COST,Costco Wholesale,2019-04-03,241.690002,243.550003,241.020004,242.479996,228.953781,1663600
COST,Costco Wholesale,2019-04-04,242.169998,244.759995,241.250000,244.399994,230.766602,1319700
COST,Costco Wholesale,2019-04-05,244.960007,247.089996,244.009995,245.869995,232.154633,1616200
COST,Costco Wholesale,2019-04-08,245.990005,246.830002,245.199997,246.520004,232.768387,1244200
COST,Costco Wholesale,2019-04-09,245.110001,245.679993,244.009995,244.910004,231.248230,1450200
COST,Costco Wholesale,2019-04-10,245.279999,246.669998,244.710007,245.610001,231.909149,1556600
COST,Costco Wholesale,2019-04-11,243.619995,244.179993,240.919998,241.240005,227.782928,2719800
COST,Costco Wholesale,2019-04-12,241.509995,242.720001,240.899994,241.949997,228.453354,2187600
COST,Costco Wholesale,2019-04-15,242.369995,246.750000,241.960007,246.330002,232.588959,1859700
COST,Costco Wholesale,2019-04-16,246.649994,246.820007,244.250000,245.339996,231.654236,1360500
COST,Costco Wholesale,2019-04-17,246.300003,246.460007,244.320007,245.559998,231.861923,1363000
COST,Costco Wholesale,2019-04-18,246.789993,247.250000,244.699997,245.809998,232.097977,1365000
COST,Costco Wholesale,2019-04-22,245.190002,245.770004,242.559998,243.419998,229.841293,1300000
COST,Costco Wholesale,2019-04-23,244.649994,246.529999,242.210007,245.580002,231.880829,1524600
COST,Costco Wholesale,2019-04-24,245.679993,248.699997,245.600006,247.960007,234.128082,1156400
COST,Costco Wholesale,2019-04-25,246.210007,247.149994,243.940002,245.600006,231.899719,1278200
COST,Costco Wholesale,2019-04-26,245.619995,245.889999,242.059998,243.820007,230.219025,1842900
COST,Costco Wholesale,2019-04-29,245.000000,245.750000,243.490005,244.279999,230.653320,1429700
COST,Costco Wholesale,2019-04-30,244.770004,245.789993,243.020004,245.529999,231.833603,1427600
COST,Costco Wholesale,2019-05-01,245.339996,245.460007,241.550003,241.589996,228.113403,1350400
COST,Costco Wholesale,2019-05-02,241.759995,242.889999,240.419998,242.690002,229.152069,1237600
